tid,geometric,kinematic,curvature,indentation,speed,acceleration
1906251N17145,0.1158,0.1016,0.1021,0.1413,0.1192,0.0234
1906255N19118,0.1839,0.1706,0.1221,0.2276,0.2063,0.2468
1906255N22089,0.1621,0.3771,0.0852,0.2112,0.4816,0.0755
1906255N22124,0.9845,0.1534,0.984,0.5344,0.1532,0.2333
1906262N16128,0.2101,0.9999,0.1223,0.2785,0.9968,0.9996
1906263N12283,0.1348,0.1074,0.4519,0.0987,0.1022,0.1924
1906264N13127,0.1438,0.1951,0.1204,0.1533,0.3011,0.0373
1906265N30328,0.1546,0.1519,0.6545,0.1454,0.2539,0.0139
1906267N17088,0.9953,0.1624,0.9987,0.528,0.1896,0.0817
1906269N15128,0.1142,0.1931,0.0923,0.1379,0.2016,0.4005
1906273N21126,0.0519,0.1265,0.0405,0.0297,0.0886,0.4837
1906279N17117,0.1832,0.1611,0.1224,0.2242,0.1973,0.2276
1906281N11284,0.9697,0.0921,0.9914,0.179,0.0893,0.1827
1906282N16129,0.1634,0.619,0.0909,0.215,0.5717,0.7227
1906287N34298,0.1545,0.0668,0.1184,0.1775,0.112,0.0647
1906288N21291,0.0946,0.4159,0.0416,0.145,0.147,0.9695
1906291N13135,0.1183,0.0907,0.0485,0.1677,0.1472,0.0571
1906300N11085,0.155,0.0906,0.1117,0.189,0.0969,0.0993
1906300N16124,0.1539,0.1261,0.1185,0.1758,0.1541,0.2224
1906307N15127,0.1469,0.1687,0.11,0.1736,0.198,0.1239
1906309N18278,0.0871,0.1002,0.0809,0.0668,0.1028,0.0768
1906310N10140,0.0322,0.0772,0.0464,0.028,0.0939,0.0126
1906345S18060,0.2569,0.6784,0.1273,0.4263,0.7521,0.0725
1906355S17060,0.9668,0.6632,0.9938,0.4668,0.7608,0.1036
1906355S18060,0.3138,0.8351,0.3471,0.3102,0.5326,0.9918
1906360N11083,0.1173,0.2168,0.1178,0.1277,0.1619,0.6881
1907009N10134,0.1491,0.2166,0.1136,0.1613,0.122,0.8424
1907011S21044,0.1546,0.3278,0.1137,0.1809,0.3128,0.4766
1907014S16124,0.085,0.6059,0.0616,0.0931,0.682,0.0795
1907018S13147,0.4291,0.1663,0.4156,0.505,0.1773,0.1869
1907021S19043,0.0764,0.2339,0.0797,0.0765,0.2777,0.0373
1907021S21044,0.1437,0.2567,0.1125,0.1582,0.3123,0.0502
